STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/18/2001,62,69,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/19/2001,62,67,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/20/2001,63,73,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/21/2001,62,68,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/22/2001,63,74,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/23/2001,58,66,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/24/2001,50,55,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/25/2001,49,58,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/26/2001,60,69,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/27/2001,54,62,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/28/2001,54,56,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/29/2001,56,65,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/30/2001,58,71,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/1/2001,64,78,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/2/2001,64,80,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/3/2001,66,78,53
